backend,model,question,sql,status,latency_ms,soft_score
huggingface,meta-llama/Llama-3.1-8B-Instruct:nebius,List all products in the Electronics category,SELECT p.name FROM products p WHERE p.category = 'Electronics',answered,820.29,1.0
huggingface,meta-llama/Llama-3.1-8B-Instruct:nebius,Show all customers from New York,SELECT c.* FROM customers c WHERE c.city = 'New York',answered,311.12,1.0
huggingface,meta-llama/Llama-3.1-8B-Instruct:nebius,How many orders were placed in 2023?,"SELECT COUNT(c.id) FROM customers c INNER JOIN orders o ON c.id = o.customer_id WHERE STRFTIME('%Y', o.order_date) = '2023'",answered,496.34,1.0
huggingface,meta-llama/Llama-3.1-8B-Instruct:nebius,Get the top 5 customers by total spend,"SELECT c.name, SUM(o.total) AS total_spend FROM customers c INNER JOIN orders o ON c.id = o.customer_id GROUP BY c.id ORDER BY total_spend DESC LIMIT 5",answered,632.49,1.0
huggingface,meta-llama/Llama-3.1-8B-Instruct:nebius,Which products were most frequently ordered?,SELECT p.name FROM products p JOIN orders o ON p.id = o.product_id GROUP BY p.id ORDER BY COUNT(p.id) DESC LIMIT 1,answered,382.53,1.0
huggingface,meta-llama/Llama-3.1-8B-Instruct:nebius,Show revenue from sales in July 2023,"SELECT SUM(o.total) FROM orders o INNER JOIN customers c ON o.customer_id = c.id WHERE STRFTIME('%Y-%m', o.order_date) = '2023-07'",answered,3580.67,1.0
huggingface,meta-llama/Llama-3.1-8B-Instruct:nebius,Which city has the most customers?,SELECT c.city FROM customers c GROUP BY c.city ORDER BY COUNT(c.id) DESC LIMIT 1,answered,334.34,1.0
huggingface,meta-llama/Llama-3.1-8B-Instruct:nebius,List all orders in September 2024,"SELECT o.id, o.order_date, o.total FROM orders o WHERE STRFTIME('%Y-%m', o.order_date) = '2024-09'",answered,648.29,1.0
huggingface,meta-llama/Llama-3.1-8B-Instruct:nebius,Find the average price of products in Furniture,SELECT AVG(p.price) FROM products AS p WHERE p.category = 'Furniture',answered,515.75,1.0
huggingface,meta-llama/Llama-3.1-8B-Instruct:nebius,Show all orders along with customer names,"SELECT c.name, o.* FROM customers c INNER JOIN orders o ON c.id = o.customer_id",answered,333.92,1.0
huggingface,meta-llama/Llama-3.1-8B-Instruct:nebius,List the total sales revenue for Electronics products,SELECT SUM(o.total) FROM orders o JOIN products p ON o.product_id = p.id WHERE p.category = 'Electronics',answered,383.14,1.0
huggingface,meta-llama/Llama-3.1-8B-Instruct:nebius,How many unique customers placed orders in 2024?,"SELECT COUNT(DISTINCT c.id) FROM customers c INNER JOIN orders o ON c.id = o.customer_id WHERE STRFTIME('%Y', o.order_date) = '2024'",answered,418.61,1.0
huggingface,meta-llama/Llama-3.1-8B-Instruct:nebius,Get the product with the highest price,SELECT c FROM products ORDER BY price DESC LIMIT 1,answered,315.48,1.0
huggingface,openai/gpt-oss-120b:nebius,List all products in the Electronics category,"SELECT p.id, p.name, p.category, p.price FROM products p WHERE p.category = 'Electronics'",answered,1166.68,1.0
huggingface,openai/gpt-oss-120b:nebius,Show all customers from New York,SELECT * FROM customers c WHERE c.city = 'New York',answered,699.03,1.0
huggingface,openai/gpt-oss-120b:nebius,How many orders were placed in 2023?,SELECT COUNT(*) FROM orders WHERE order_date >= '2023-01-01' AND order_date <= '2023-12-31',answered,1389.35,1.0
huggingface,openai/gpt-oss-120b:nebius,Get the top 5 customers by total spend,"SELECT c.id, c.name, SUM(o.total) AS total_spent FROM customers c JOIN orders o ON c.id = o.customer_id GROUP BY c.id, c.name ORDER BY total_spent DESC LIMIT 5",answered,1322.95,1.0
huggingface,openai/gpt-oss-120b:nebius,Which products were most frequently ordered?,"SELECT p.name, COUNT(o.id) AS order_count FROM products p JOIN orders o ON p.id = o.product_id GROUP BY p.id, p.name ORDER BY order_count DESC",answered,1909.0,1.0
huggingface,openai/gpt-oss-120b:nebius,Show revenue from sales in July 2023,SELECT SUM(o.total) AS revenue FROM orders o WHERE o.order_date >= '2023-07-01' AND o.order_date <= '2023-07-31',answered,1357.82,1.0
huggingface,openai/gpt-oss-120b:nebius,Which city has the most customers?,SELECT city FROM customers GROUP BY city ORDER BY COUNT(*) DESC LIMIT 1,answered,1641.75,1.0
huggingface,openai/gpt-oss-120b:nebius,List all orders in September 2024,"SELECT o.id, o.customer_id, o.product_id, o.order_date, o.total FROM orders o WHERE o.order_date >= '2024-09-01' AND o.order_date <= '2024-09-30'",answered,1580.17,1.0
